,Country,Tournament,Year of Tournament,Tournament Surface,Doubles,Prize Money,Match Day,Start Time,Player Name 1,Player Name 2,Winner,Sets,Score,BKNAME,FullClosingFullHomeOdds,FullClosingFullAwayOdds,FullClosingOutcomeTiming,FullOpeningFullHomeOdds,FullOpeningFullAwayOdds,FullOpeningOutcomeTiming,FullHomeVolume,FullAwayVolume,FullHomeLayClosingOdds,FullAwayLayClosingOdds,FullHomeLayOpeningOdds,FullAwayLayOpeningOdds,FullLayClosingTime,FullLayOpenClosingTime,FullLayHomeVolume,FullLayAwayVolume,Set1ClosingFullHomeOdds,Set1ClosingFullAwayOdds,Set1ClosingOutcomeTiming,Set1OpeningFullHomeOdds,Set1OpeningFullAwayOdds,Set1OpeningOutcomeTiming,Set1HomeVolume,Set1AwayVolume,Set1HomeLayClosingOdds,Set1AwayLayClosingOdds,Set1HomeLayOpeningOdds,Set1AwayLayOpeningOdds,Set1LayClosingTime,Set1LayOpenClosingTime,Set1LayHomeVolume,Set1LayAwayVolume,Set2ClosingFullHomeOdds,Set2ClosingFullAwayOdds,Set2ClosingOutcomeTiming,Set2OpeningFullHomeOdds,Set2OpeningFullAwayOdds,Set2OpeningOutcomeTiming,Set2HomeVolume,Set2AwayVolume,Set2HomeLayClosingOdds,Set2AwayLayClosingOdds,Set2HomeLayOpeningOdds,Set2AwayLayOpeningOdds,Set2LayClosingTime,Set2LayOpenClosingTime,Set2LayHomeVolume,Set2LayAwayVolume,Set3ClosingFullHomeOdds,Set3ClosingFullAwayOdds,Set3ClosingOutcomeTiming,Set3OpeningFullHomeOdds,Set3OpeningFullAwayOdds,Set3OpeningOutcomeTiming,Set3HomeVolume,Set3AwayVolume,Set3HomeLayClosingOdds,Set3AwayLayClosingOdds,Set3HomeLayOpeningOdds,Set3AwayLayOpeningOdds,Set3LayClosingTime,Set3LayOpenClosingTime,Set3LayHomeVolume,Set3LayAwayVolume
30,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",372,1.01,21.0,2017-01-17 10:25:23,1.02,17.0,2017-01-17 08:22:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betway,1.01,16.0,2017-01-17 08:22:37,1.01,16.0,2017-01-17 08:22:37,,,,,,,,,,,7.0,1.07,2017-01-17 23:08:29,7.0,1.07,2017-01-17 08:22:37,,,,,,,,,,,1.07,7.0,2017-01-17 23:08:29,1.07,7.0,2017-01-17 09:28:43,,,,,,,,,,,,,,,,,,,,,,,,,,
32,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",nordicbet,1.01,20.0,2017-01-17 08:23:22,1.01,20.0,2017-01-17 08:23:22,,,,,,,,,,,8.0,1.05,2017-01-17 08:25:21,8.0,1.05,2017-01-17 08:25:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",boylesports,1.0,15.0,2017-01-18 22:23:57,1.01,13.0,2017-01-17 08:25:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",matchbook,1.0,51.0,2017-01-18 21:39:28,1.01,28.0,2017-01-17 08:35:27,44099,791,1.02,301,1.04,71,2017-01-18 22:05:26,2017-01-17 08:35:27,39541,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",dafabet,1.01,13.5,2017-01-18 06:35:26,1.01,13.5,2017-01-17 08:43:05,,,,,,,,,,,6.88,1.1,2017-01-17 15:47:29,6.88,1.1,2017-01-17 15:47:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",454,1.01,11.0,2017-01-17 08:58:07,1.01,10.0,2017-01-17 08:58:07,,,,,,,,,,,6.61,1.07,2017-01-18 05:03:16,6.08,1.08,2017-01-17 12:23:45,,,,,,,,,,,1.07,6.61,2017-01-18 05:03:16,1.09,5.7,2017-01-17 12:23:45,,,,,,,,,,,,,,,,,,,,,,,,,,
37,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",intertops,1.01,15.0,2017-01-17 09:13:14,1.01,15.0,2017-01-17 09:13:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",414,1.01,11.74,2017-01-17 09:21:25,1.01,11.74,2017-01-17 09:21:25,,,,,,,,,,,7.28,1.04,2017-01-18 02:21:11,7.28,1.04,2017-01-18 02:21:11,,,,,,,,,,,1.04,7.28,2017-01-18 02:21:11,1.04,7.28,2017-01-18 02:21:11,,,,,,,,,,,,,,,,,,,,,,,,,,
39,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",youwin,1.01,13.0,2017-01-17 09:44:01,1.01,15.0,2017-01-17 09:44:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",expekt,1.0,10.0,2017-01-17 10:08:31,1.0,10.0,2017-01-17 10:08:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
